1,的,744863,7.7946,7.7946
2,了,129617,1.3564,9.151
3,是,118382,1.2388,10.3898
4,在,115425,1.2079,11.5977
5,和,79845,0.8355,12.4332
6,一,78590,0.8224,13.2556
7,这,65143,0.6817,13.9373
8,有,53522,0.5601,14.4974
9,他,52908,0.5537,15.0511
10,我,52724,0.5517,15.6028
11,也,47034,0.4922,16.095
12,不,46950,0.4913,16.5863
13,就,44145,0.462,17.0483
14,着,40596,0.4248,17.4731
15,中,40105,0.4197,17.8928
16,地,39440,0.4127,18.3055
17,说,35047,0.3667,18.6722
18,上,34850,0.3647,19.0369
19,都,34261,0.3585,19.3954
20,人,33915,0.3549,19.7503
21,个,31445,0.3291,20.0794
22,把,28786,0.3012,20.3806
23,你,28769,0.3011,20.6817
24,种,28587,0.2991,20.9808
25,对,28397,0.2972,21.5752
26,而,28397,0.2972,21.278
27,要,27324,0.2859,21.8611
28,我们,26821,0.2807,22.1418
29,又,25682,0.2687,22.4105
30,来,25410,0.2659,22.6764
31,一个,24497,0.2563,22.9327
32,从,23619,0.2472,23.1799
33,年,21818,0.2283,23.4082
34,到,21665,0.2267,23.6349
35,与,21385,0.2238,23.8587
36,它,21038,0.2202,24.0789
37,还,20735,0.217,24.2959
38,大,20050,0.2098,24.5057
39,她,19914,0.2084,24.7141
40,两,19340,0.2024,24.9165
41,时,17995,0.1883,25.1048
42,他们,17783,0.1861,25.2909
43,里,17774,0.186,25.4769
44,等,17336,0.1814,25.6583
45,发展,17307,0.1811,25.8394
46,那,17183,0.1798,26.0192
47,很,16774,0.1755,26.1947
48,可以,16724,0.175,26.3697
49,使,16470,0.1723,26.542
50,以,16316,0.1707,26.7127
51,所,16191,0.1694,26.8821
52,但,15959,0.167,27.0491
53,得,14915,0.1561,27.2052
54,去,14914,0.1561,27.3613
55,自己,14793,0.1548,27.5161
56,没有,14544,0.1522,27.6683
57,为,14499,0.1517,27.82
58,为,14240,0.149,27.969
59,能,13781,0.1442,28.1132
60,看,13755,0.1439,28.2571
61,什么,13585,0.1422,28.3993
62,或,13574,0.142,28.5413
63,被,13476,0.141,28.6823
64,之,13299,0.1392,28.8215
65,三,13208,0.1382,28.9597
66,这个,13201,0.1381,29.0978
67,小,12687,0.1328,29.2306
68,多,12028,0.1259,29.3565
69,后,12026,0.1258,29.4823
70,这样,11980,0.1254,29.6077
71,会,11782,0.1233,29.731
72,好,11743,0.1229,29.8539
73,社会,11461,0.1199,29.9738
74,由,11367,0.1189,30.0927
75,向,11351,0.1188,30.2115
76,进行,11085,0.116,30.3275
77,问题,10899,0.1141,30.4416
78,下,10737,0.1124,30.554
79,呢,10391,0.1087,30.6627
80,如,10312,0.1079,30.7706
81,其,10199,0.1067,30.8773
82,于,10159,0.1063,30.9836
83,国家,10138,0.1061,31.0897
84,这些,9967,0.1043,31.194
85,工作,9655,0.101,31.295
86,起来,9588,0.1003,31.3953
87,生产,9419,0.0986,31.4939
88,可,9361,0.098,31.5919
89,并,9259,0.0969,31.6888
90,就是,9195,0.0962,31.785
91,新,9157,0.0958,31.8808
92,用,9062,0.0948,31.9756
93,想,9028,0.0945,32.0701
94,给,8985,0.094,32.1641
95,不能,8834,0.0924,32.2565
96,因为,8817,0.0923,32.3488
97,生活,8694,0.091,32.4398
98,经济,8680,0.0908,32.5306
99,研究,8627,0.0903,32.6209
